City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
taywarah,33.35,64.42,71.73,19,0,5.75,AF,1597551997
esperance,-33.87,121.9,62.6,59,40,28.86,AU,1597551997
souillac,-20.52,57.52,73.4,60,40,17.22,MU,1597551796
tongren,27.72,109.19,88.57,57,11,9.1,CN,1597551998
canyon lake,29.88,-98.26,88.0,66,50,15.99,US,1597551998
road town,18.42,-64.62,82.0,93,1,1.01,VG,1597551998
zhangye,38.93,100.45,69.69,39,100,15.43,CN,1597551999
henties bay,-22.12,14.28,46.99,88,0,2.26,NA,1597551999
mana,5.66,-53.78,78.48,83,77,5.77,GF,1597551999
lokot,52.56,34.58,54.36,87,87,5.82,RU,1597551999
cam ranh,11.92,109.16,91.4,66,0,9.17,VN,1597551999
ixtapa,20.7,-105.2,84.2,79,75,3.36,MX,1597551824
launceston,-41.45,147.17,57.99,71,75,23.04,AU,1597552000
aswan,24.09,32.91,84.25,22,0,9.73,EG,1597552000
guatire,10.48,-66.54,73.99,85,98,2.3,VE,1597552000
galeana,24.83,-100.07,63.84,67,24,2.15,MX,1597552001
cooma,-36.23,149.13,51.8,62,90,29.97,AU,1597552001
vao,-22.67,167.48,70.2,77,9,17.31,NC,1597552001
komsomolskiy,40.43,71.72,87.8,18,3,4.7,UZ,1597552001
sao joao da barra,-21.64,-41.05,71.92,88,22,9.53,BR,1597551759
alice springs,-23.7,133.88,82.4,15,0,17.22,AU,1597551722
isernia,41.6,14.24,72.0,88,0,3.0,IT,1597552002
port-gentil,-0.72,8.78,74.82,87,96,11.77,GA,1597552002
churapcha,62.0,132.43,64.8,31,13,6.13,RU,1597552002
marzuq,14.4,46.47,79.99,59,78,5.44,YE,1597552002
mattawa,46.74,-119.9,80.6,56,1,3.36,US,1597552003
normal,40.51,-88.99,71.6,78,90,11.41,US,1597551891
muli,2.92,73.57,83.07,66,97,2.98,MV,1597552003
lebyazhye,55.27,66.49,61.3,87,100,8.7,RU,1597552003
macapa,0.04,-51.07,82.4,88,40,8.05,BR,1597552003
ningbo,29.88,121.55,96.8,47,0,13.42,CN,1597552004
pakokku,21.33,95.1,80.74,75,100,19.84,MM,1597552004
mweka,-4.85,21.57,71.92,73,78,2.46,CD,1597552004
sabang,5.89,95.32,83.55,72,11,6.67,ID,1597552004
kankan,10.39,-9.31,68.83,95,99,3.96,GN,1597552005
maldonado,-34.67,-54.92,51.01,43,0,16.11,UY,1597552005
monze,-16.28,27.48,53.87,55,24,2.73,ZM,1597552005
adrar,20.5,-10.07,98.91,17,74,7.67,MR,1597551826
conde,-7.26,-34.91,73.4,94,75,2.24,BR,1597552005
buta,2.79,24.73,69.87,98,100,2.17,CD,1597552006
coquimbo,-29.95,-71.34,46.4,87,0,4.7,CL,1597551802
kirakira,-10.45,161.92,82.24,77,72,3.85,SB,1597552006
batagay,67.63,134.63,43.93,59,99,6.17,RU,1597552007
poum,-20.23,164.02,72.7,86,100,19.37,NC,1597552007
bluefields,12.01,-83.76,78.01,91,100,2.42,NI,1597552007
luganville,-15.53,167.17,78.8,78,75,11.41,VU,1597552007
port lincoln,-34.73,135.87,57.15,59,86,8.95,AU,1597552008
